pos_x,pos_y
1.0,0.5
0.5,-0.5
-0.5,0.5
-0.25,-0.5
0.25,0.5
1.0,-0.25
-1.0,0.25
-0.625,-0.5
0.625,0.5
0.875,-0.5
-0.875,0.5
0.125,-0.5
-0.125,0.5
1.0,0.125
-1.0,-0.125
-0.8125,-0.5
0.8125,0.5
0.6875,-0.5
-0.6875,0.5
-0.0625,-0.5
0.0625,0.5
1.0,-0.0625
-1.0,0.0625
-0.4375,-0.5
0.4375,0.5
1.0,-0.4375
-1.0,0.4375
0.3125,-0.5
-0.3125,0.5
1.0,0.3125
-1.0,-0.3125
-0.90625,-0.5
0.90625,0.5
0.59375,-0.5
-0.59375,0.5
-0.15625,-0.5
0.15625,0.5
1.0,-0.15625
-1.0,0.15625
-0.53125,-0.5
0.53125,0.5
0.96875,-0.5
-0.96875,0.5
0.21875,-0.5
-0.21875,0.5
1.0,0.21875
-1.0,-0.21875
-0.71875,-0.5
0.71875,0.5
0.78125,-0.5
-0.78125,0.5
0.03125,-0.5
-0.03125,0.5
1.0,0.03125
-1.0,-0.03125
-0.34375,-0.5
0.34375,0.5
1.0,-0.34375
-1.0,0.34375
0.40625,-0.5
-0.40625,0.5
1.0,0.40625
-1.0,-0.40625
-0.953125,-0.5
0.953125,0.5
0.546875,-0.5
-0.546875,0.5
-0.203125,-0.5
0.203125,0.5
1.0,-0.203125
-1.0,0.203125
-0.578125,-0.5
0.578125,0.5
0.921875,-0.5
-0.921875,0.5
0.171875,-0.5
-0.171875,0.5
1.0,0.171875
-1.0,-0.171875
-0.765625,-0.5
0.765625,0.5
0.734375,-0.5
-0.734375,0.5
-0.015625,-0.5
0.015625,0.5
1.0,-0.015625
-1.0,0.015625
-0.390625,-0.5
0.390625,0.5
1.0,-0.390625
-1.0,0.390625
0.359375,-0.5
-0.359375,0.5
1.0,0.359375
-1.0,-0.359375
-0.859375,-0.5
0.859375,0.5
0.640625,-0.5
-0.640625,0.5
-0.109375,-0.5
0.109375,0.5
1.0,-0.109375
-1.0,0.109375
-0.484375,-0.5
0.484375,0.5
1.0,-0.484375
-1.0,0.484375
0.265625,-0.5
-0.265625,0.5
1.0,0.265625
-1.0,-0.265625
-0.671875,-0.5
0.671875,0.5
0.828125,-0.5
-0.828125,0.5
0.078125,-0.5
-0.078125,0.5
1.0,0.078125
-1.0,-0.078125
-0.296875,-0.5
0.296875,0.5
1.0,-0.296875
-1.0,0.296875
0.453125,-0.5
-0.453125,0.5
1.0,0.453125
-1.0,-0.453125
-0.9765625,-0.5
0.9765625,0.5
0.5234375,-0.5
-0.5234375,0.5
-0.2265625,-0.5
0.2265625,0.5
1.0,-0.2265625
-1.0,0.2265625
-0.6015625,-0.5
0.6015625,0.5
0.8984375,-0.5
-0.8984375,0.5
0.1484375,-0.5
-0.1484375,0.5
1.0,0.1484375
-1.0,-0.1484375
-0.7890625,-0.5
0.7890625,0.5
0.7109375,-0.5
-0.7109375,0.5
-0.0390625,-0.5
0.0390625,0.5
1.0,-0.0390625
-1.0,0.0390625
-0.4140625,-0.5
0.4140625,0.5
1.0,-0.4140625
-1.0,0.4140625
0.3359375,-0.5
-0.3359375,0.5
1.0,0.3359375
-1.0,-0.3359375
-0.8828125,-0.5
0.8828125,0.5
0.6171875,-0.5
-0.6171875,0.5
-0.1328125,-0.5
0.1328125,0.5
1.0,-0.1328125
-1.0,0.1328125
-0.5078125,-0.5
0.5078125,0.5
0.9921875,-0.5
-0.9921875,0.5
0.2421875,-0.5
-0.2421875,0.5
1.0,0.2421875
-1.0,-0.2421875
-0.6953125,-0.5
0.6953125,0.5
0.8046875,-0.5
-0.8046875,0.5
0.0546875,-0.5
-0.0546875,0.5
1.0,0.0546875
-1.0,-0.0546875
-0.3203125,-0.5
0.3203125,0.5
1.0,-0.3203125
-1.0,0.3203125
0.4296875,-0.5
-0.4296875,0.5
1.0,0.4296875
-1.0,-0.4296875
-0.9296875,-0.5
0.9296875,0.5
0.5703125,-0.5
-0.5703125,0.5
-0.1796875,-0.5
0.1796875,0.5
1.0,-0.1796875
-1.0,0.1796875
-0.5546875,-0.5
0.5546875,0.5
0.9453125,-0.5
-0.9453125,0.5
